idx,seed,n,file,status,obj_val,obj_bound,mip_gap,mip_gap_pct,runtime_s,node_count,sol_count,heur_cost,gurobi_cost,heur_gap_vs_gurobi_pct,optimal
41,1040,15,inst_041.json,9,98.70774041110155,93.82053297063044,0.049511896636643675,4.951189663664367,1800.0339031219482,1068006,10,100.21728761125068,98.70774251875383,1.5293076854736563,0
42,1041,12,inst_042.json,9,80.85927537034016,77.444289532728,0.042233693314357786,4.223369331435778,1800.0209560394287,2400833,10,81.6605745729671,80.85927561831329,0.9909796353312068,0
43,1042,14,inst_043.json,9,100.22564820715377,96.57705373725975,0.03640380017650609,3.640380017650609,1800.0308818817139,1492336,10,102.12155307596477,100.22564820715397,1.8916364251316218,0
44,1043,10,inst_044.json,9,78.48175582507798,76.63512365759345,0.023529445131176052,2.352944513117605,1800.1071150302887,3340680,10,79.26045484491439,78.48175582507851,0.9922038716507076,0
45,1044,10,inst_045.json,2,73.4764197509889,73.47003785852614,8.685633410533117e-05,0.008685633410533116,259.71229815483093,555761,10,74.01302437967453,73.47641997089703,0.7303083206694719,1
46,1045,12,inst_046.json,9,98.87382310333385,97.70507808348019,0.011820570735210617,1.1820570735210616,1800.0274150371552,3601381,10,99.40767546134306,98.87382580481966,0.5399302112343044,0
47,1046,15,inst_047.json,9,97.62221459061335,95.34059062660735,0.02337197505274979,2.337197505274979,1800.0570108890533,2143614,10,98.00955253116537,97.6222163236582,0.3967705529476968,0
48,1047,12,inst_048.json,9,84.88762101215299,82.94720197534963,0.022858680849656053,2.2858680849656055,1800.0601289272308,2360560,10,85.97046556887018,84.88762209777468,1.2756199836158297,0
49,1048,10,inst_049.json,9,84.56544272795796,84.48095226032562,0.0009991134074013672,0.09991134074013672,1800.785747051239,5043305,10,84.64747703924294,84.56544435016849,0.09700497609256523,0
50,1049,15,inst_050.json,9,114.36905935513501,110.59183607235609,0.0330266184235197,3.30266184235197,1800.0844111442566,1694574,10,114.7503883976655,114.36905935513543,0.33341975940011676,0
51,1050,14,inst_051.json,9,79.05831899381126,74.38157959117181,0.05915556341395951,5.915556341395951,1800.0312061309814,1548585,10,79.89372090587212,79.0583189962707,1.0566907065666584,0
52,1051,10,inst_052.json,2,67.76649695239472,67.76059732229567,8.705821260313794e-05,0.008705821260313794,249.1788830757141,742479,10,67.93267670508799,67.76649968425019,0.2452200152170686,1
53,1052,10,inst_053.json,9,65.60988526002035,65.58101042034718,0.00044009892044057336,0.044009892044057336,1800.2888770103455,5289102,6,66.32715225704835,65.60989007099707,1.093222660905437,0
54,1053,10,inst_054.json,2,84.24650520038026,84.23947865079906,8.340464170573532e-05,0.008340464170573532,169.37887907028198,333648,10,85.51724752214415,84.2465054369515,1.5083617754847423,1
55,1054,12,inst_055.json,9,83.06379585145774,80.48959060842975,0.030990700781739117,3.0990700781739116,1800.0444009304047,1934974,10,83.90181133682219,83.06379622887994,1.0088813008655753,0
56,1055,10,inst_056.json,9,61.03879838004556,60.826623675855515,0.0034760629275331634,0.34760629275331634,1800.1392378807068,3581632,10,61.4749931103469,61.03880042984929,0.7146154207255759,0
57,1056,12,inst_057.json,2,99.73808258593519,99.72942245440143,8.682873491474274e-05,0.008682873491474273,90.97595500946045,174621,10,100.3844432407274,99.73808491642916,0.648055679873775,1
